year,mediation ID,lateral,negotiation ID,conflict locale,conflict sub-locale,locale Gleditsch ID,third_party_type,third_party_locale,third_party,third_party Gleditsch ID,location of neogitations,negotiation location Gleditsch ID,negotiation type,leading actor,leading actor 2,leading actor 3,good offices,mediation,hosting talks,negotiating and drafting,manipulating,humanitarian,witness/party to agreement,other,agreement,peace agreement,ceasfire agreement,agreement name,notes_1,source_1,note_2,source_2,note_3,source_3,note_4,source_4,note_5,source_5,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
2006,77,multilateral,,Sudan,Darfur,SUD,state,western,United States of America,USA,Nigeria,NIG,G,United Kingdom,United States of America,,0,1,0,0,1,0,1,1,1,1,0,Darfur Peace Agreement ,"A number of high-profile diplomats arrived in Abuja on 2 May 2006 in order to force a breakthrough in the negotiations. US Deputy Secretary of State Robert Zoellick and British Secretary of State for International Development Hilary Benn took over the mediation process in this final stage of the seventh round of the Abuja peace talks. Only two 48-hr extensions to the talks’ deadline were subsequently allowed. The US mediation team promised the rebel leaders that if they signed the Darfur Peace Agreement (DPA), the US would guarantee its implementation. To back-up this promise, Zoellick carried personal letters with him from President George W. Bush assuring the rebel leaders of the US’s commitment to the DPA. In addition, the UN Security Council had imposed an arms embargo on all non-governmental entities operating in Darfur in July 2004. This sanctions regime was strengthened with the adoption of resolution 1591 in March 2005, which expanded the scope of arms embargo to also include all the parties to the N’djamena Ceasefire Agreement and any other belligerents, as well as imposed a travel ban and an assets freeze on individuals designated by the UN Sanctions Committee. In spite of the pressure put on the conflict parties to sign the peace agreement, the JEM and the SLM/A led by Abdul Wahid refused to sign the agreement, leaving the SLM/A led by Minni Minnawi as the only rebel party that signed the DPA on 5 May 2006. From the signing of the DPA on 5 May 2006 onwards, AU mediators Alex de Waal and Sam Ibok met with SLM/A leader Abdul Wahid several times a day to get clarity on his objections to the DPA. They encouraged him to write to Salim Ahmed Salim a letter in which he could specify on what was needed in order for him to sign the DPA. In his letter send to Salim on 10 May, Abdul Wahid proposed to conclude a ‘supplementary agreement’ to the DPA, demanding greater representation at the legislature and executive bodies of Darfur, as well as a larger compensation fund for Darfur. However, Salim knew that the chief government negotiator, Majzoub El Khalifa, would reject this option, instead insisting that Abdul Wahid had to sign the DPA first, after which some of the remaining issues could be negotiated. Consequently, on 13 May 2006, Salim replied to Wahid that the AU could not re-open negotiations on the DPA, but was willing to support the conflict parties in implementing the agreement. Sam Ibok subsequently tried to persuade Wahid that the AU’s insistence on implementation rather than concluding a supplementary agreement would still allow Wahid to get what he wanted. Ibok’s effort to persuade Wahid did not work. Wahid kept insisting on a supplementary agreement. The AU Peace and Security Council decided on 16 May 2006 that the non-signatory groups would have another two weeks to sign the DPA.",APP,The term 'other' refers to the USA alongside European powers sponsoring and funding talks held in Abuja to bring an end to the Darfur conflict.,https://www.wiltonpark.org.uk/wp-content/uploads/darfur-overview-summary.pdf,,,,,,,,,,,,,,,
2006,77,multilateral,,Sudan,Darfur,SUD,state,western,United Kingdom,UKG,Nigeria,NIG,G,United Kingdom,United States of America,,0,1,0,0,0,0,1,1,1,1,0,Darfur Peace Agreement ,"A number of high-profile diplomats arrived in Abuja on 2 May 2006 in order to force a breakthrough in the negotiations. US Deputy Secretary of State Robert Zoellick and British Secretary of State for International Development Hilary Benn took over the mediation process in this final stage of the seventh round of the Abuja peace talks. Only two 48-hr extensions to the talks’ deadline were subsequently allowed. The US mediation team promised the rebel leaders that if they signed the Darfur Peace Agreement (DPA), the US would guarantee its implementation. To back-up this promise, Zoellick carried personal letters with him from President George W. Bush assuring the rebel leaders of the US’s commitment to the DPA. In addition, the UN Security Council had imposed an arms embargo on all non-governmental entities operating in Darfur in July 2004. This sanctions regime was strengthened with the adoption of resolution 1591 in March 2005, which expanded the scope of arms embargo to also include all the parties to the N’djamena Ceasefire Agreement and any other belligerents, as well as imposed a travel ban and an assets freeze on individuals designated by the UN Sanctions Committee. In spite of the pressure put on the conflict parties to sign the peace agreement, the JEM and the SLM/A led by Abdul Wahid refused to sign the agreement, leaving the SLM/A led by Minni Minnawi as the only rebel party that signed the DPA on 5 May 2006. From the signing of the DPA on 5 May 2006 onwards, AU mediators Alex de Waal and Sam Ibok met with SLM/A leader Abdul Wahid several times a day to get clarity on his objections to the DPA. They encouraged him to write to Salim Ahmed Salim a letter in which he could specify on what was needed in order for him to sign the DPA. In his letter send to Salim on 10 May, Abdul Wahid proposed to conclude a ‘supplementary agreement’ to the DPA, demanding greater representation at the legislature and executive bodies of Darfur, as well as a larger compensation fund for Darfur. However, Salim knew that the chief government negotiator, Majzoub El Khalifa, would reject this option, instead insisting that Abdul Wahid had to sign the DPA first, after which some of the remaining issues could be negotiated. Consequently, on 13 May 2006, Salim replied to Wahid that the AU could not re-open negotiations on the DPA, but was willing to support the conflict parties in implementing the agreement. Sam Ibok subsequently tried to persuade Wahid that the AU’s insistence on implementation rather than concluding a supplementary agreement would still allow Wahid to get what he wanted. Ibok’s effort to persuade Wahid did not work. Wahid kept insisting on a supplementary agreement. The AU Peace and Security Council decided on 16 May 2006 that the non-signatory groups would have another two weeks to sign the DPA.",APP,The term 'other' refers to the USA alongside European powers sponsoring and funding talks held in Abuja to bring an end to the Darfur conflict.,https://www.wiltonpark.org.uk/wp-content/uploads/darfur-overview-summary.pdf,,,,,,,,,,,,,,,
2006,77,multilateral,,Sudan,Darfur,SUD,global,western,EU,,Nigeria,NIG,G,EU,,,0,0,0,0,0,0,0,1,0,0,0,,"A final mediation attempt was launched by the EU during the last week of May 2006, but Abdul Wahid in the end did not show up for negotiations. Instead, he flew to Asmara, Eritrea, at the invitation of JEM leader Khalil Ibrahim to discuss the founding of a rebel alliance.",APP,The term 'other' refers to the USA alongside European powers sponsoring and funding talks held in Abuja to bring an end to the Darfur conflict.,https://www.wiltonpark.org.uk/wp-content/uploads/darfur-overview-summary.pdf,,,,,,,,,,,,,,,
2006,78,unilateral,,Sudan,,SUD,state,western,United States of America,USA,United States of America,USA,S,United States of America,,,0,1,1,0,0,0,0,1,0,0,0,,"Salva Kiir engaged in negotiations with Sudanese government officials mediated by the US in Washington on 20 July 2006. In August 2006, the SPLM/A and Sudanese government forces clashed in the Rubkona area of Unity State, resulting in the death of eight civilians and three soldiers. Heavy fighting between the SPLM/A and government forces in Malakal from 27 to 30 November 2006 resulted in at least 150 people dead. ",APP,The term 'other' refers to to the attempt at mediation.,,,,,,,,,,,,,,,,
2006,79,multilateral,,Sudan,Darfur,SUD,global,western,EU,,Nigeria,NIG,G,EU,,,0,0,0,0,0,0,0,1,0,0,0,,"A final mediation attempt was launched by the EU during the last week of May 2006, but Abdul Wahid in the end did not show up for negotiations. Instead, he flew to Asmara, Eritrea, at the invitation of JEM leader Khalil Ibrahim to discuss the founding of a rebel alliance. In February 2007, a joint UN/AU mediation effort was initiated, headed by Jan Eliasson and Salim Ahmed Salim, who respectively represented the UN and the AU. The SLM/A faction led by Minni Minnawi lost power and the movement was now led by Abdul Wahid. The SLM/A refused to attend the UN/AU organised negotiations in Sirtre, Libya. Hence, they were not involved in any negotiations with the Government of Sudan in 2007, although the SLM/A leadership did consult with the UN/AU negotiation team. In the beginning of 2008, the joint UN/AU mediation effort continued. Yet, no substantial progress was made. As a result, Jan Eliasson and Salim Ahmed Salim resigned in July 2008, after which Djibril Bassolé assumed the role of chief mediator, the former foreign-minister of Burkina Faso. In addition to the joint UN/AU initiative, Qatar conducted some effort to initiate negotiations. However, no real negotiations took place in 2008 as the warring parties did not meet each other. Abdul Wahid, the leader of SLM/A, demanded that security had to be provided for the civilians in Darfur before he would enter negotiations. Djibril Bassolé continued his efforts as the chief mediator of the joint UN/AU mediation effort in 2009. SLM/A leader Abdul Wahid refused to leave his exile in Paris. Consequently, no negotiations were held between the SPLM/A and the Government of Sudan in 2009.In 2010, Djibril Bassolé continued his efforts as the chief mediator of the joint UN/AU mediation effort. In contrast to several of the other rebel groups based in Darfur, the SLM/A and its leader Abdul Wahid refused to negotiate with the Government of Sudan until the security situation in Darfur would improve.",APP,The term 'other' refers to to the attempt at mediation.,,,,,,,,,,,,,,,,
2008,80,multilateral,,Sudan,Abyei,SUD,global,international,UN,,,,G,UN,,,0,1,0,1,0,0,0,0,1,0,1,Ceasefire,"Fighting escalated in Abyei May 2008. Between 13 and 21 May 2008, at least 90 people were killed in Abyei during violence between government forces and the SPLM/A. Negotiations mediated by the UN led to the signing of an agreement on 8 June 2008. This agreement stipulated a new ceasefire and referred the boundary demarcation to the Permanent Court of Arbitration (PCA) in The Hague. ",APP,,,,,,,,,,,,,,,,,
2008,81,multilateral,,Sudan,Darfur,SUD,global,international,UN,,,,G,UN,,,0,1,0,0,0,0,0,0,1,1,0,Darfur Peace Agreement ,UNAMID mediated between Sudanese Vice-President Ali Osman Taha and Minni Minawi in al-Fasher in September 2008. The mediation effort led to an agreement that committed both sides to the DPA.,APP,,,,,,,,,,,,,,,,,
2009,82,multilateral,,Sudan,,SUD,regional,african,AU,,,,R,AU,,,0,0,0,0,0,0,0,0,1,0,0,,"With tensions increasing and the referendum on self-determination for Southern Sudan approaching, the AU started to take the lead in mediating the successful implementation of the CPA. To this purpose, the AU High-Level Implementation Panel for Sudan (AUHIP) was established during a meeting of the AU Peace and Security Council on 29 October 2009. Led by former South African President Thabo Mbeki, the panel was mandated to assist the Sudanese parties in the implementation of the CPA. ",APP,The term 'other' refers to the establishment of the AU High-Level Implementation Panel for Sudan ,,,,,,,,,,,,,,,,
2009,83,unilateral,,Sudan,Darfur,SUD,state,nonwestern,Qatar,QAT,Qatar,QAT,S,Qatar,,,0,0,1,0,0,0,0,1,0,0,0,,"In February 2007, a joint UN/AU mediation effort was initiated, headed by Jan Eliasson and Salim Ahmed Salim, who respectively represented the UN and the AU.  However, the JEM refused to attend any negotiations.  In the beginning of 2008, the joint UN/AU mediation effort continued. Yet, no substantial progress was made. As a result, Jan Eliasson and Salim Ahmed Salim resigned in July 2008, after which Djibril Bassolé assumed the role of chief mediator, the former foreign-minister of Burkina Faso. In addition to the joint UN/AU initiative, Qatar conducted some effort to initiate negotiations. However, no negotiations took place in 2008 as the warring parties did not meet each other. JEM resisted negotiations with other rebel groups present and said that they should be the only one representing the Darfur side in the negotiations. The reason they stated for this was that the government could play the rebels against each other if they were represented by several groups. Bassolé went along with this demand by JEM, because he also believed that if the JEM would sign a deal, then the other rebel parties would follow.  In January 2009, after it had been agreed that JEM would be the sole representative of the Darfurian rebels, Djibril Bassolé succeeded in initiating negotiations between the Government of Sudan and the JEM.  ",APP,The term 'other' refers to Qatar's attempt to initiate negotiations.,,,,,,,,,,,,,,,,
2009,84,multilateral,,Sudan,Darfur,SUD,state,nonwestern,Qatar,QAT,Qatar,QAT,G,Qatar,,,0,1,1,0,0,0,1,0,1,1,0,Declaration of good will and confidence-building agreement ,"The negotiations took place from January to February in Doha, the capital of Qatar. The negotiations led to the signing of the declaration of good will and confidence-building agreement (CBA) on 17 February 2009. This agreement was supposed to pave the way for more comprehensive negotiations. However, one day after the agreement was signed, JEM positions were bombed by government forces. ",APP,,https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/Sudan%20S%202009%20100.pdf,,,,,,,,,,,,,,,
2009,84,multilateral,,Sudan,Darfur,SUD,regional,african,AU ,,Qatar,QAT,G,Qatar,,,0,1,1,0,0,0,1,0,1,1,0,Declaration of good will and confidence-building agreement ,"The negotiations took place from January to February in Doha, the capital of Qatar. The negotiations led to the signing of the declaration of good will and confidence-building agreement (CBA) on 17 February 2009. This agreement was supposed to pave the way for more comprehensive negotiations. However, one day after the agreement was signed, JEM positions were bombed by government forces. ",APP,The AU-UN chief mediator Djibril Bassolé was witness to the Declaration of Goodwill and Confidence-Building Agreement.,https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/Sudan%20S%202009%20100.pdf,,,,,,,,,,,,,,,
2009,84,multilateral,,Sudan,Darfur,SUD,global,international,UN,,Qatar,QAT,G,Qatar,,,0,1,1,0,0,0,1,0,1,1,0,Declaration of good will and confidence-building agreement ,"The negotiations took place from January to February in Doha, the capital of Qatar. The negotiations led to the signing of the declaration of good will and confidence-building agreement (CBA) on 17 February 2009. This agreement was supposed to pave the way for more comprehensive negotiations. However, one day after the agreement was signed, JEM positions were bombed by government forces. ",APP,The AU-UN chief mediator Djibril Bassolé was witness to the Declaration of Goodwill and Confidence-Building Agreement.,https://www.securitycouncilreport.org/atf/cf/%7B65BFCF9B-6D27-4E9C-8CD3-CF6E4FF96FF9%7D/Sudan%20S%202009%20100.pdf,,,,,,,,,,,,,,,
2009,85,unilateral,,Sudan,Darfur,SUD,state,african,Chad,CHA,Chad,CHA,S,Chad,,,0,1,1,1,0,0,0,1,0,0,0,,"Another round of negotiations took place in November 2009, but these talks took place in Chad and were mediated by Chadian President Idriss Déby, without the involvement of Bassolé. President Déby initiated these peace negotiations between the JEM and the government of Sudan as part of a rapprochement between Sudan and Chad. Accordingly, Déby presented Sudanese government negotiators with the draft of framework agreement that stipulated that in a final peace agreement the JEM should have representation at all governmental levels.",APP,The term 'other' refers to Chad's attempts at rapprochement with Sudan.,,,,,,,,,,,,,,,,
2009,86,multilateral,,Sudan,,SUD,global,international,UN,,,,G,UN,,,0,1,0,1,0,0,0,1,0,0,0,,"In August 2009, UNAMID convened a Round Table meeting of the Parties and Partners of the DPA on the implementation of the DPA. The meeting was chaired by UNAMID Joint Special representative (JSR), Mr. Rodolphe Adada.",APP,The term 'other' refers to UNAMID's hosting of a roundtable about the implementation of the DPA.,,,,,,,,,,,,,,,,
2010,87,multilateral,,Sudan,,SUD,regional,african,AU,,Sudan,SUD,R,AU,,,0,1,0,1,0,0,0,0,0,0,0,,"On 19 and 20 July 2010, the AUHIP conveyed a meeting in Juba, at which the AUHIP mediators and the conflict parties formulated a framework for future negotiations, including guiding principles, proposals on clusters for negotiations, and the role of outside experts.",APP,,,,,,,,,,,,,,,,,
2010,88,multilateral,,Sudan,Abyei,SUD,regional,african,AU,,Sudan,SUD,R,AU,,,0,1,0,0,0,0,0,0,0,0,0,,"With the 2011 referendum held in the next month, the AUHIP once more tried to resolve the conflict over Abyei at a meeting in Juba on 13 December 2010, but this effort proved fruitless as well. This meeting also reviewed progress on post-referendum issues.",APP,,,,,,,,,,,,,,,,,
2010,89,unilateral,,Sudan,Darfur,SUD,state,african,Chad,CHA,Chad,CHA,S,Chad,,,0,1,1,0,0,0,0,0,0,0,0,,"Another round of negotiations between the Government of Sudan and the JEM, mediated by Chad, took place in N’Djamena on 20 January. ",APP,,,,,,,,,,,,,,,,,
2010,90,multilateral,,Sudan,Darfur,SUD,regional,african,AU,,Chad,CHA,S,Chad,,,0,0,0,0,0,0,0,0,0,0,0,,"Another round of negotiations between the Sudanese government and the JEM on 20 February 2010 mediated by Chad led to the conclusion of a framework agreement between the Sudanese government and the JEM on 20 February 2010.  Déby had invited Bassolé to N’Djamena to witness the signing of the framework agreement between the Sudanese government and the JEM on 20 February 2010.The agreement called for a ceasefire, release of hundreds of JEM-fighters that were imprisoned, and set out terms for future negotiations. ",APP,,,,,,,,,,,,,,,,,
2010,90,multilateral,,Sudan,Darfur,SUD,state,african,Chad,CHA,Chad,CHA,S,Chad,,,0,1,1,1,0,0,0,0,0,0,0,,"Another round of negotiations between the Sudanese government and the JEM on 20 February 2010 mediated by Chad led to the conclusion of a framework agreement between the Sudanese government and the JEM on 20 February 2010.  Déby had invited Bassolé to N’Djamena to witness the signing of the framework agreement between the Sudanese government and the JEM on 20 February 2010.The agreement called for a ceasefire, release of hundreds of JEM-fighters that were imprisoned, and set out terms for future negotiations. ",APP,,,,,,,,,,,,,,,,,
2010,91,unilateral,,Sudan,Darfur,SUD,state,nonwestern,Qatar,QAT,Qatar,QAT,S,Qatar,,,0,1,1,0,1,0,0,0,1,1,0,Framework Agreement between the Government of Sudan and the Justice and Equality Movement,"On 23 February, the Sudanese government and the JEM signed an almost identical agreement in Doha, allowing “the Qataris to claim the glory for the deal hatched entirely in N’Djamena” as Alex de Waal puts it. As the host country, Qatar provided material incentives for the conflict parties to make peace through promising to allocate substantial funds for future development projects in Darfur. During the negotiations leading up to the Doha Agreement, Qatar had promised an amount of two billion US Dollars for rebuilding Darfur if the Government of Sudan and the various rebel movements participating in the Doha negotiations were to sign a peace agreement. The agreement did not hold. ",APP,,https://unamid.unmissions.org/sites/default/files/ddpd_english.pdf,,,,,,,,,,,,,,,
2010,92,unilateral,,Sudan,Darfur,SUD,state,nonwestern,Qatar,QAT,Qatar,QAT,S,Qatar,,,0,1,1,0,0,0,0,1,0,0,0,,"JEM left the ongoing negotiations on 3 May 2010, making it clear that it suspended its participation in the Doha process because of the Sudanese army of breaching the cessation of hostilities agreement. ",APP,The term 'other' refers to the break-down of negotiations.,,,,,,,,,,,,,,,,
2011,93,unilateral,,Sudan,Darfur,SUD,state,nonwestern,Qatar,QAT,Qatar,QAT,S,Qatar,,,0,1,1,1,0,0,0,0,1,1,0,Doha Document for Peace in Darfur,"After many rounds of negotiations in Doha in 2010 and 2011, and two and a half years of negotiations, major parties to the Darfur conflict, namely the Khartoum government and the The Liberation and Justice Movement (LJM), signed the Doha Document for Peace in Darfur (DDPD). The JEM joined the agreement in January 2013.",https://reliefweb.int/report/sudan/darfur-rebels-fail-agree-joint-positions-remaining-issues-doha-talks,,https://unamid.unmissions.org/sites/default/files/ddpd_english.pdf,,https://www.hmd.org.uk/resource/14-july-2011-government-of-sudan-and-the-liberation-and-justice-movement-sign-the-doha-accord/,,https://reliefweb.int/report/sudan/darfur-peace-process-updated-february-2011,,,,,,,,,,,
2011,94,unilateral,,Sudan,,SUD,nonstate,african,Episcopal Church of Sudan,,,,N,Episcopal Church of Sudan,,,0,1,0,1,0,0,0,0,1,0,1,Ceasefire,"Another round of negotiations starting in early January 2011 led to the conclusion of a ceasefire on 5 January 2011. The Episcopal Church of Sudan moderated these talks. On 23 March 2011, fighting erupted between the South Sudan Liberation Movement/Army (SSLM/A) led by Peter Gadet and the autonomous Government of South Sudan in the Mayom county in Unity State. Bapiny Monytuil, who would later become the deputy head of SSLA, led these attacks. The SSLM/A operated mainly in the Unity State, but was also involved in clashes in the Upper Nile State. It received support from the Government of Sudan, including weapons, ammunition, funding, and logistical support. On 11 April 2011, the SSLM/A released a document, called the Mayom Declaration, in which it is claimed that the Government of South Sudan has failed. ",APP,,,,,,,,,,,,,,,,,
2011,100,multilateral,,Sudan,Blue Nile; South Kordofan,SUD,regional,african,AU,,,,R,AU,,,0,1,1,0,0,0,0,0,1,0,1,Ceasefire,"On 5 June 2011, the SPLM/A-North clashed for the first time with the Government of Sudan in Kadugli and Um Durein, two towns located in South Kordofan. On 9 June 2011, the SPLM/A-North expressed that it fought to remove the central Government in Khartoum. Abdel-Aziz Al-Hilu, a leading figure in the movement and the former deputy Governor of South Kordofan, stated the SPLM/A-North waged a “battle for dignity to accomplish the fundamental change in the centre.” The conflict in South Kordofan and Blue Nile can be seen as a continuation of the civil war between the Sudanese government and the SPLM/A between 1983 and 2005. While fighters from these two areas joined the SPLM/A rebellion as early as 1984. The Comprehensive Peace Agreement (CPA) concluded in 2005 stipulated a referendum on independence for southern Sudan, but this referendum did not apply to South Kordofan and Blue Nile. This provides the background to the SPLM/A-North rebellion. After fighting had started in June, the armed conflict quickly spread to other towns and villages in South Kordofan. In September, fighting also started in the state of Blue Nile, which is located east of South Kordofan, but the fighting in South Kordofan was more intense. The SPM/A-North was supported by the Government of South Sudan. In early June, the AU High-Level Implementation Panel on Sudan (AUHIP) led by former South African president Thabo Mbeki initiated mediated negotiations to end the fighting. SPLM/A-North chairman Malik Agar negotiated for the SPLM/A-North and Ali Nafi for the Sudanese government.This mediation effort led to the signing of a ceasefire on 16 June 2011. Although the conflict parties had signed the ceasefire agreement and were engaged in negotiations, fighting continued throughout June 2011. ",APP,,,,,,,,,,,,,,,,,
2011,101,multilateral,,Sudan,Blue Nile; South Kordofan,SUD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,1,0,0,0,1,0,1,1,0,Addis Ababa Agreement,"Nevertheless, negotiations in Addis Ababa, mediated by Mbeki, led to the conclusion of an agreement for comprehensive political and security arrangements in the border states of Blue Nile and South Kordofan on 28 June 2011, referred to as the Addis Ababa Agreement. This agreement was signed by Presidential Bashir’s aide Nafie Ali Nafie and SPLM/A-North leader Malik Agar. In spite of the conclusion of this agreement, fighting continued. On 7 July 2011, the government backed out of the agreement with SPLM/A-North. ",APP,,https://ucdpged.uu.se/peaceagreements/fulltext/SUD%2020110628.pdf,,,,,,,,,,,,,,,
2011,101,multilateral,,Sudan,Blue Nile; South Kordofan,SUD,state,african,Ethiopia,ETH,Ethiopia,ETH,R,AU,,,0,1,1,0,0,0,1,0,1,1,0,Addis Ababa Agreement,"Nevertheless, negotiations in Addis Ababa, mediated by Mbeki, led to the conclusion of an agreement for comprehensive political and security arrangements in the border states of Blue Nile and South Kordofan on 28 June 2011, referred to as the Addis Ababa Agreement. This agreement was signed by Presidential Bashir’s aide Nafie Ali Nafie and SPLM/A-North leader Malik Agar. In spite of the conclusion of this agreement, fighting continued. On 7 July 2011, the government backed out of the agreement with SPLM/A-North. ",APP,,https://ucdpged.uu.se/peaceagreements/fulltext/SUD%2020110628.pdf,,,,,,,,,,,,,,,
2011,102,unilateral,,Sudan,South Kordofan,SUD,state,african,Ethiopia,ETH,Ethiopia,ETH,S,Ethiopia,,,0,1,1,0,0,0,0,0,0,0,0,,"By the end of August 2011, Ethiopian Prime Minister Meles Zenawi mediated talks between President Bashir and Agar. However, the talks did not produce any tangible results. The government announced a unilateral ceasefire for South Kordofan on 23 August 2011, but fighting continued. In November 2011, the SPLM/A-north, SLM/A, SLM/A-MM, and JEM formed a new rebel coalition: the Sudanese Revolutionary Army from 2011 onwards. Accordingly, any peace efforts only involving the SPLM/A-North are listed here, while peace efforts involving the SRF are listed under that dyad.",APP,,,,,,,,,,,,,,,,,
2011,103,multilateral,,Sudan,,SUD,regional,african,AU,,,,R,AU,,,0,1,0,0,0,0,0,0,0,0,0,,"The AU High-Level Implementation Panel for Sudan (AUHIP), led by former South African President Thabo Mbeki, mediates a round of negotiations between the Sudanese government and the SPLM/A in May 2011. This led to the drafting of a Joint Position Paper on Border Security, which forms the basis for a Common Border Zone and creates a Joint Political and Security Mechanism.  ",APP,,,,,,,,,,,,,,,,,
2011,104,multilateral,,Sudan,,SUD,regional,african,AU,,,,R,AU,,,0,1,0,0,0,0,0,0,0,0,0,,The AUHIP mediated another round of negotiations between the conflict parties on post-referendum issues on 13 June 2011. ,APP,,,,,,,,,,,,,,,,,
2011,105,multilateral,,Sudan,Abyei,SUD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,0,0,0,0,1,0,1,1,0,Temporary Arrangements for the Administration and Security of Abyei Area,"Another round of negotiations on the status of Abyei, mediated by the AUHIP, resulted in the conclusion of the Temporary Arrangements for the Administration and Security of Abyei Area on 20 June 2011. The agreement stipulated a devolution of power to the Abyei Area Administration, with oversight from the Abyei Joint Oversight Committee. In addition, the agreement called for the demilitarization of the Area with the exception of the UN-authorized and Ethiopian-provided Interim Security Force for Abyei (ISFA). The parties also reaffirmed their commitment to resolve the final status of Abyei peacefully, with mediation support from the AUHIP. Although the Temporary Arrangements for the Administration and Security of Abyei Area stipulated, among others that both the SAF and the SPLA needed to be withdrawn from the Abyei Area, the SAF did not give up their control over Abyei. ",APP,,https://reliefweb.int/report/sudan/agreement-between-government-republic-sudan-and-sudan-peoples-liberation-movement,,,,,,,,,,,,,,,
2011,106,multilateral,,Sudan,,SUD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,0,0,0,0,1,0,1,1,0,Agreement between the Government of the Sudan and Government of Southern Sudan on Border Security and the Joint Political and Security Mechanism,"During a round of negotiations, mediated by the AUHIP, on 29 June 2011, the conflict parties formally signed an agreement that drew on the Joint Position Paper on Border Security. South Sudan gained its independence on 9 July 2011. All peace efforts after this date are coded as negotiations between Sudan and South Sudan.",APP,,https://www.peaceagreements.org/viewmasterdocument/1371,,,,,,,,,,,,,,,
2012,120,multilateral,,Sudan,Blue Nile; South Kordofan,SUD,regional,african,AU,,Ethiopia,ETH,R,AU,,,0,1,0,1,0,0,0,0,0,0,0,,"""In 2012, the African Union (AU) Peace and Security Council mandated the African Union’s High Level Implementation Panel (AUHIP) led by former South African President Thabo Mbeki to mediate between the Sudanese government and the Sudanese armed opposition. A first round of negotiations mediated by the AUHIP took solely place between the SPLM/A-North and the Government of the Sudan in Addis Ababa on 26 July 2012. These negotiations focused on political and security issues underlying the continuing conflict in Blue Nile and Southern Kordofan States. The talks were conducted indirectly via the AUHIP, with both sides setting preconditions for engaging in direct talks. The Government of the Sudan insisted that the SPLM/A-North would disengage from South Sudan, as well made it clear that it opposed the return to the Agreement of 28 June 2011.  On 16 September 2012, the AUHIP submitted a draft proposal for a political solution based on the Agreement of 28 June 2011, reflecting views of the conflict parties and the “changed circumstances and current realities on the ground.”  Neither party accepted this agreement.""",APP,,,,,,,,,,,,,,,,,
2012,120,multilateral,,Sudan,Blue Nile; South Kordofan ,SUD,state,african,Ethiopia,ETH,Ethiopia,ETH,R,AU,,,0,0,1,0,0,0,0,0,0,0,0,,"""In 2012, the African Union (AU) Peace and Security Council mandated the African Union’s High Level Implementation Panel (AUHIP) led by former South African President Thabo Mbeki to mediate between the Sudanese government and the Sudanese armed opposition. A first round of negotiations mediated by the AUHIP took solely place between the SPLM/A-North and the Government of the Sudan in Addis Ababa on 26 July 2012. These negotiations focused on political and security issues underlying the continuing conflict in Blue Nile and Southern Kordofan States. The talks were conducted indirectly via the AUHIP, with both sides setting preconditions for engaging in direct talks. The Government of the Sudan insisted that the SPLM/A-North would disengage from South Sudan, as well made it clear that it opposed the return to the Agreement of 28 June 2011.  On 16 September 2012, the AUHIP submitted a draft proposal for a political solution based on the Agreement of 28 June 2011, reflecting views of the conflict parties and the “changed circumstances and current realities on the ground.”  Neither party accepted this agreement.""",APP,,,,,,,,,,,,,,,,,
2012,121,multilateral,,Sudan,,SUD,regional,african,AU,,,,R,AU,,,1,0,1,0,0,1,0,0,1,1,0,Peace Agreement,"""In November 2011, the SPLM/A-north, SLM/A, SLM/A-MM, and JEM formed a new rebel coalition: the Sudanese Revolutionary Army (SRF). The rebel groups declared to collectively fight to topple the Sudanese Government. The SRF was supported by the Government of South Sudan.  In 2012, the African Union (AU) Peace and Security Council mandated the African Union’s High Level Implementation Panel (AUHIP) led by former South African President Thabo Mbeki to mediate between the Government of Sudan and the SRF. Indirect negotiations between the SRF and the Government of Sudan were mediated the AUHIP. These negotiations led to the signing of on an agreement to allow humanitarian assistance in rebel-controlled areas of South Kordofan and Blue Nile on 4 August 2012. Yet, the agreement did not address the conflict issues.""",APP,,https://reliefweb.int/report/sudan/sudan-rebels-sign-humanitarian-deal-south-kordofan-and-blue-nile,,,,,,,,,,,,,,,
2012,122,unilateral,,Sudan,Darfur,SUD,state,nonwestern,Qatar,QAT,Qatar,QAT,S,Qatar,,,0,1,1,0,1,0,0,0,0,0,0,,"After Qatar offered to open talks up to more rebel groups in Darfur, a splinter group of the JEM stated that it would join negotiations in October 2012. Qatar offered financial incentives geared towards development in Darfur to incentivise rebels' greater cooperation and participation in peace talks.",https://www.reuters.com/article/ozatp-sudan-darfur-qatar-20121024-idAFJOE89N00720121024,,,,,,,,,,,,,,,,,
