year,mediation ID,negotiation ID,conflict locale,conflict sub-locale,locale Gleditsch ID,third_party,third-party Gleditsch ID,location of neogitations,negotiation location Gleditsch ID,negotiation type,leading actor,leading actor 2,leading actor 3,good offices,mediation,hosting talks,negotiating and drafting,manipulating,humanitarian,witness/party to agreement,other,agreement,peace agreement,ceasfire agreement,agreement name,notes_1,source_1,note_2,source_2,note_3,source_3,note_4,source_4,note_5,source_5,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9
2003,42,,Sudan,,SUD,IGAD,,Kenya,KEN,G,IGAD,,,0,1,1,0,0,0,0,0,0,0,0,,The peace process took a positive turn when Vice President Ali Osman Mohamed Taha and John Garang entered into negotiations on 4 September 2003. ,APP,,,,,,,,,,,,,,,,,
2003,42,,Sudan,,SUD,Eritrea,ERI,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,The peace process took a positive turn when Vice President Ali Osman Mohamed Taha and John Garang entered into negotiations on 4 September 2003. ,APP,,,,,,,,,,,,,,,,,
2003,42,,Sudan,,SUD,Ethiopia,ETH,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,The peace process took a positive turn when Vice President Ali Osman Mohamed Taha and John Garang entered into negotiations on 4 September 2003. ,APP,,,,,,,,,,,,,,,,,
2003,42,,Sudan,,SUD,Uganda,UGA,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,The peace process took a positive turn when Vice President Ali Osman Mohamed Taha and John Garang entered into negotiations on 4 September 2003. ,APP,,,,,,,,,,,,,,,,,
2003,42,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,G,IGAD,,,0,1,1,0,0,0,0,0,0,0,0,,The peace process took a positive turn when Vice President Ali Osman Mohamed Taha and John Garang entered into negotiations on 4 September 2003. ,APP,,,,,,,,,,,,,,,,,
2003,42,,Sudan,,SUD,United Kingdom,UKG,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,The peace process took a positive turn when Vice President Ali Osman Mohamed Taha and John Garang entered into negotiations on 4 September 2003. ,APP,,,,,,,,,,,,,,,,,
2003,42,,Sudan,,SUD,United States of America,USA,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,The peace process took a positive turn when Vice President Ali Osman Mohamed Taha and John Garang entered into negotiations on 4 September 2003. ,APP,,,,,,,,,,,,,,,,,
2003,42,,Sudan,,SUD,Norway,NOR,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,The peace process took a positive turn when Vice President Ali Osman Mohamed Taha and John Garang entered into negotiations on 4 September 2003. ,APP,,,,,,,,,,,,,,,,,
2003,42,,Sudan,,SUD,Italy,ITA,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,The peace process took a positive turn when Vice President Ali Osman Mohamed Taha and John Garang entered into negotiations on 4 September 2003. ,APP,,,,,,,,,,,,,,,,,
2003,43,,Sudan,,SUD,IGAD,,Kenya,KEN,G,IGAD,,,0,1,1,0,0,0,1,0,1,1,1,Ceasefire; Agreement on Security Arrangements During the Interim Period ,Subsequent discussions on power sharing and security issues resulted in the signing of the Agreement on Security Arrangements During the Interim Period on 25 September 2003. The ceasefire was also extended by two months.,APP,,https://www.peaceagreements.org/view/275/Agreement%20on%20Security%20Arrangements%20during%20the%20Interim%20Period,,,,,,,,,,,,,,,
2003,43,,Sudan,,SUD,Eritrea,ERI,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,1,1,1,Ceasefire; Agreement on Security Arrangements During the Interim Period ,Subsequent discussions on power sharing and security issues resulted in the signing of the Agreement on Security Arrangements During the Interim Period on 25 September 2003. The ceasefire was also extended by two months.,APP,,https://www.peaceagreements.org/view/275/Agreement%20on%20Security%20Arrangements%20during%20the%20Interim%20Period,,,,,,,,,,,,,,,
2003,43,,Sudan,,SUD,Ethiopia,ETH,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,1,1,1,Ceasefire; Agreement on Security Arrangements During the Interim Period ,Subsequent discussions on power sharing and security issues resulted in the signing of the Agreement on Security Arrangements During the Interim Period on 25 September 2003. The ceasefire was also extended by two months.,APP,,https://www.peaceagreements.org/view/275/Agreement%20on%20Security%20Arrangements%20during%20the%20Interim%20Period,,,,,,,,,,,,,,,
2003,43,,Sudan,,SUD,Uganda,UGA,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,1,1,1,Ceasefire; Agreement on Security Arrangements During the Interim Period ,Subsequent discussions on power sharing and security issues resulted in the signing of the Agreement on Security Arrangements During the Interim Period on 25 September 2003. The ceasefire was also extended by two months.,APP,,https://www.peaceagreements.org/view/275/Agreement%20on%20Security%20Arrangements%20during%20the%20Interim%20Period,,,,,,,,,,,,,,,
2003,43,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,G,IGAD,,,0,1,1,0,0,0,0,0,1,1,1,Ceasefire; Agreement on Security Arrangements During the Interim Period ,Subsequent discussions on power sharing and security issues resulted in the signing of the Agreement on Security Arrangements During the Interim Period on 25 September 2003. The ceasefire was also extended by two months.,APP,,https://www.peaceagreements.org/view/275/Agreement%20on%20Security%20Arrangements%20during%20the%20Interim%20Period,,,,,,,,,,,,,,,
2003,43,,Sudan,,SUD,United Kingdom,UKG,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,1,1,1,Ceasefire; Agreement on Security Arrangements During the Interim Period ,Subsequent discussions on power sharing and security issues resulted in the signing of the Agreement on Security Arrangements During the Interim Period on 25 September 2003. The ceasefire was also extended by two months.,APP,,https://www.peaceagreements.org/view/275/Agreement%20on%20Security%20Arrangements%20during%20the%20Interim%20Period,,,,,,,,,,,,,,,
2003,43,,Sudan,,SUD,United States of America,USA,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,1,1,1,Ceasefire; Agreement on Security Arrangements During the Interim Period ,Subsequent discussions on power sharing and security issues resulted in the signing of the Agreement on Security Arrangements During the Interim Period on 25 September 2003. The ceasefire was also extended by two months.,APP,,https://www.peaceagreements.org/view/275/Agreement%20on%20Security%20Arrangements%20during%20the%20Interim%20Period,,,,,,,,,,,,,,,
2003,43,,Sudan,,SUD,Norway,NOR,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,1,1,1,Ceasefire; Agreement on Security Arrangements During the Interim Period ,Subsequent discussions on power sharing and security issues resulted in the signing of the Agreement on Security Arrangements During the Interim Period on 25 September 2003. The ceasefire was also extended by two months.,APP,,https://www.peaceagreements.org/view/275/Agreement%20on%20Security%20Arrangements%20during%20the%20Interim%20Period,,,,,,,,,,,,,,,
2003,43,,Sudan,,SUD,Italy,ITA,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,1,1,1,Ceasefire; Agreement on Security Arrangements During the Interim Period ,Subsequent discussions on power sharing and security issues resulted in the signing of the Agreement on Security Arrangements During the Interim Period on 25 September 2003. The ceasefire was also extended by two months.,APP,,https://www.peaceagreements.org/view/275/Agreement%20on%20Security%20Arrangements%20during%20the%20Interim%20Period,,,,,,,,,,,,,,,
2003,44,,Sudan,,SUD,IGAD,,Kenya,KEN,G,IGAD,,,0,1,1,1,0,0,0,0,0,0,0,,"On 7 October 2003, the delegations met again for further talks. After nine days of the beginning of these talks, Taha and Garang arrived to continue negotiations, which lasted until 26 October.",APP,,,,,,,,,,,,,,,,,
2003,44,,Sudan,,SUD,Eritrea,ERI,Kenya,KEN,G,IGAD,,,0,1,0,1,0,0,0,0,0,0,0,,"On 7 October 2003, the delegations met again for further talks. After nine days of the beginning of these talks, Taha and Garang arrived to continue negotiations, which lasted until 26 October.",APP,,,,,,,,,,,,,,,,,
2003,44,,Sudan,,SUD,Ethiopia,ETH,Kenya,KEN,G,IGAD,,,0,1,0,1,0,0,0,0,0,0,0,,"On 7 October 2003, the delegations met again for further talks. After nine days of the beginning of these talks, Taha and Garang arrived to continue negotiations, which lasted until 26 October.",APP,,,,,,,,,,,,,,,,,
2003,44,,Sudan,,SUD,Uganda,UGA,Kenya,KEN,G,IGAD,,,0,1,0,1,0,0,0,0,0,0,0,,"On 7 October 2003, the delegations met again for further talks. After nine days of the beginning of these talks, Taha and Garang arrived to continue negotiations, which lasted until 26 October.",APP,,,,,,,,,,,,,,,,,
2003,44,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,G,IGAD,,,0,1,1,1,0,0,0,0,0,0,0,,"On 7 October 2003, the delegations met again for further talks. After nine days of the beginning of these talks, Taha and Garang arrived to continue negotiations, which lasted until 26 October.",APP,,,,,,,,,,,,,,,,,
2003,44,,Sudan,,SUD,United Kingdom,UKG,Kenya,KEN,G,IGAD,,,0,1,0,1,0,0,0,0,0,0,0,,"On 7 October 2003, the delegations met again for further talks. After nine days of the beginning of these talks, Taha and Garang arrived to continue negotiations, which lasted until 26 October.",APP,,,,,,,,,,,,,,,,,
2003,44,,Sudan,,SUD,United States of America,USA,Kenya,KEN,G,IGAD,,,0,1,0,1,0,0,0,0,0,0,0,,"On 7 October 2003, the delegations met again for further talks. After nine days of the beginning of these talks, Taha and Garang arrived to continue negotiations, which lasted until 26 October.",APP,,,,,,,,,,,,,,,,,
2003,44,,Sudan,,SUD,Norway,NOR,Kenya,KEN,G,IGAD,,,0,1,0,1,0,0,0,0,0,0,0,,"On 7 October 2003, the delegations met again for further talks. After nine days of the beginning of these talks, Taha and Garang arrived to continue negotiations, which lasted until 26 October.",APP,,,,,,,,,,,,,,,,,
2003,44,,Sudan,,SUD,Italy,ITA,Kenya,KEN,G,IGAD,,,0,1,0,1,0,0,0,0,0,0,0,,"On 7 October 2003, the delegations met again for further talks. After nine days of the beginning of these talks, Taha and Garang arrived to continue negotiations, which lasted until 26 October.",APP,,,,,,,,,,,,,,,,,
2003,45,,Sudan,,SUD,IGAD,,Kenya,KEN,G,IGAD,,,0,0,1,1,0,0,0,0,0,0,0,,Another round of negotiations started again on 30 November.,APP,,,,,,,,,,,,,,,,,
2003,45,,Sudan,,SUD,Eritrea,ERI,Kenya,KEN,G,IGAD,,,0,0,0,1,0,0,0,0,0,0,0,,Another round of negotiations started again on 30 November.,APP,,,,,,,,,,,,,,,,,
2003,45,,Sudan,,SUD,Ethiopia,ETH,Kenya,KEN,G,IGAD,,,0,0,0,1,0,0,0,0,0,0,0,,Another round of negotiations started again on 30 November.,APP,,,,,,,,,,,,,,,,,
2003,45,,Sudan,,SUD,Uganda,UGA,Kenya,KEN,G,IGAD,,,0,0,0,1,0,0,0,0,0,0,0,,Another round of negotiations started again on 30 November.,APP,,,,,,,,,,,,,,,,,
2003,45,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,G,IGAD,,,0,0,1,1,0,0,0,0,0,0,0,,Another round of negotiations started again on 30 November.,APP,,,,,,,,,,,,,,,,,
2003,45,,Sudan,,SUD,United Kingdom,UKG,Kenya,KEN,G,IGAD,,,0,0,0,1,0,0,0,0,0,0,0,,Another round of negotiations started again on 30 November.,APP,,,,,,,,,,,,,,,,,
2003,45,,Sudan,,SUD,United States of America,USA,Kenya,KEN,G,IGAD,,,0,0,0,1,0,0,0,0,0,0,0,,Another round of negotiations started again on 30 November.,APP,,,,,,,,,,,,,,,,,
2003,45,,Sudan,,SUD,Norway,NOR,Kenya,KEN,G,IGAD,,,0,0,0,1,0,0,0,0,0,0,0,,Another round of negotiations started again on 30 November.,APP,,,,,,,,,,,,,,,,,
2003,45,,Sudan,,SUD,Italy,ITA,Kenya,KEN,G,IGAD,,,0,0,0,1,0,0,0,0,0,0,0,,Another round of negotiations started again on 30 November.,APP,,,,,,,,,,,,,,,,,
2003,45,,Sudan,,SUD,Arab League,,Kenya,KEN,G,IGAD,,,0,0,0,1,0,0,0,0,0,0,0,,Another round of negotiations started again on 30 November.,APP,The Arab League observes its first round of Sudan peace talks in November 2003.,https://sudantribune.com/article1633/,,,,,,,,,,,,,,,
2003,46,,Sudan,,SUD,IGAD,,Kenya,KEN,G,IGAD,,,0,1,1,0,0,0,0,0,0,0,0,,"On 7 December, Taha and Garang arrived to take part in this round of negotiations. This resulted in the parties agreeing in principle on a 50-50 sharing of oil wealth in the south during the interim period. ",APP,,,,,,,,,,,,,,,,,
2003,46,,Sudan,,SUD,Eritrea,ERI,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"On 7 December, Taha and Garang arrived to take part in this round of negotiations. This resulted in the parties agreeing in principle on a 50-50 sharing of oil wealth in the south during the interim period. ",APP,,,,,,,,,,,,,,,,,
2003,46,,Sudan,,SUD,Ethiopia,ETH,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"On 7 December, Taha and Garang arrived to take part in this round of negotiations. This resulted in the parties agreeing in principle on a 50-50 sharing of oil wealth in the south during the interim period. ",APP,,,,,,,,,,,,,,,,,
2003,46,,Sudan,,SUD,Uganda,UGA,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"On 7 December, Taha and Garang arrived to take part in this round of negotiations. This resulted in the parties agreeing in principle on a 50-50 sharing of oil wealth in the south during the interim period. ",APP,,,,,,,,,,,,,,,,,
2003,46,,Sudan,,SUD,Kenya,KEN,Kenya,KEN,G,IGAD,,,0,1,1,0,0,0,0,0,0,0,0,,"On 7 December, Taha and Garang arrived to take part in this round of negotiations. This resulted in the parties agreeing in principle on a 50-50 sharing of oil wealth in the south during the interim period. ",APP,,,,,,,,,,,,,,,,,
2003,46,,Sudan,,SUD,United Kingdom,UKG,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"On 7 December, Taha and Garang arrived to take part in this round of negotiations. This resulted in the parties agreeing in principle on a 50-50 sharing of oil wealth in the south during the interim period. ",APP,,,,,,,,,,,,,,,,,
2003,46,,Sudan,,SUD,United States of America,USA,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"On 7 December, Taha and Garang arrived to take part in this round of negotiations. This resulted in the parties agreeing in principle on a 50-50 sharing of oil wealth in the south during the interim period. ",APP,,,,,,,,,,,,,,,,,
2003,46,,Sudan,,SUD,Norway,NOR,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"On 7 December, Taha and Garang arrived to take part in this round of negotiations. This resulted in the parties agreeing in principle on a 50-50 sharing of oil wealth in the south during the interim period. ",APP,,,,,,,,,,,,,,,,,
2003,46,,Sudan,,SUD,Italy,ITA,Kenya,KEN,G,IGAD,,,0,1,0,0,0,0,0,0,0,0,0,,"On 7 December, Taha and Garang arrived to take part in this round of negotiations. This resulted in the parties agreeing in principle on a 50-50 sharing of oil wealth in the south during the interim period. ",APP,,,,,,,,,,,,,,,,,
2003,47,,Sudan,Darfur,SUD,Darfur Security Committee,,Sudan,SUD,N,Darfur Security Committee,,,0,1,0,1,0,0,0,0,0,0,0,,"In late 2002, the Sudan Liberation Movement/Army (SLM/A) and the Justice and Equality Movement (JEM) took up arms against the Sudanese government. On 14 March 2003, the Darfur based SLM/A stated in a press release that it shall fight for a secular Sudan with a decentralised form of governance, using armed struggle as one of the means to achieve this political goal. By the time this press statement was released the armed conflict had already begun. One of the first organized attacks took place as early as June 2002, when Darfurian rebels targeted a police station in Golo. Yet, it was not until March 2003 that the armed conflict escalated, when several coordinated armed attacks led by SLM/A leader Abdel Wahid were launched on various government army units. When the armed opposition groups took up arms, the Sudanese government initially kept the communication channels open. For instance, after the attack on the police station in Golo in June 2002, the Sudanese government dispatched the chairman of the Parliament’s Transport Commission, Idris Yusuf, to negotiate with the armed groups.  From March 2003 onwards, when attacks on government targets became more frequent, the Governor of North Darfur, Ibrahim Suleiman, formed and ad hoc Darfur Security Committee to negotiate an end to the violence in Darfur. However, this peace effort was terminated as soon as government officials had successfully negotiated the return of commander of the Sudanese air force Ibrahim Bushra, who had been captured during the attack on El Fasher airbase.  ",APP,,,,,,,,,,,,,,,,,
2003,48,,Sudan,Darfur,SUD,Chad,CHA,Chad,CHA,S,Chad,,,0,1,1,0,0,0,1,0,1,0,1,Abéché Ceasefire,"In late August 2003, Chad acted as mediator during talks between the Sudanese Government and the SLM/A in Abéché, under the auspices of President Idriss Deby. After five days of negotiations, the conflict parties signed a ceasefire agreement on 3 September. Directly after the talks, Sudan released 54 rebel prisoners as part of the deal. However, only a few days later, the SLM/A accused the Government of Sudan of breaking the ceasefire, which the latter denied. A month later, the SLM/A released 42 prisoners. The Abéché Ceasefire Agreement also called for comprehensive peace talks.",APP,"Chadian president, Idriss Deby, oversaw the proceedings that led to the Darfur Ceasefire, signed by members of the Government of Sudan in Khartoum, the Sudanese Liberation Army, and the Chadian Minister of Public Security and Migration, Mr. ‘Abd al-Rahman Musa.","https://www.peaceagreements.org/view/1812/Darfur%20Ceasefire%20(GoS/SLM/A),%20Abeche",,,,,,,,,,,,,,,
2003,49,,Sudan,Darfur,SUD,Chad,CHA,Chad,CHA,S,Chad,,,0,1,1,0,0,0,0,0,0,0,0,,"Consequently, official negotiations – which came to be known as the Abéché Ceasefire renewal talks – started on 29 October 2003, one day prior to the ceasefire which had been negotiated on 15 September would end. During these talks, the Chadian Government proposed a draft peace agreement. The talks ended without any results, mainly because the SLM/A demanded the presence of international monitors in Darfur, while the Government of Sudan rejected this.",APP,,,,,,,,,,,,,,,,,
2003,50,,Sudan,Darfur,SUD,Chad,CHA,Chad,CHA,S,Chad,,,0,1,1,1,0,0,0,0,0,0,0,,"A closed-door round of pre-negotiations between several Chadian generals and a SLM/A delegation led by Minni Minnawi took place in N’djamena on the evening of 28 November 2003 in preparation of the scheduled formal peace talks the next day. However, based on this meeting, President Déby cancelled the scheduled negotiations last minute, accusing the SLM/A of unrealistic demands.",APP,,,,,,,,,,,,,,,,,
2003,51,,Sudan,,SUD,Chad,CHA,Chad,CHA,S,Chad,,,1,0,1,0,0,0,0,0,0,0,0,,"On 15 December 2003, the conflict parties met once more for negotiations in Chad, but the talks broke down after less than 24 hours.",APP,,,,,,,,,,,,,,,,,
2003,52,,Sudan,,SUD,Saudi Arabia,SAU,Saudi Arabia,SAU,S,Saudi Arabia,,,0,1,0,0,0,0,0,0,0,0,0,,"A round of negotiations between the NDA and the Sudanese government, mediated by Saudi Arabia, in early December led to the conclusion of a framework agreement in Jeddah on 4 December 2003.",APP,,,,,,,,,,,,,,,,,
2004,53,,Sudan,Darfur,SUD,Chad,CHA,Chad,CHA,S,Chad,,,1,1,1,0,0,0,0,0,0,0,0,,"The armed opposition groups agreed to this, but the Sudanese government suddenly aborted these talks.” In late March 2004, peace talks between the Government of Sudan and the two rebel groups SLM/A and JEM began in N’djamena in Chad. Chad mediated these negotiations. However, both the SLM/A and JEM were dissatisfied with the mediation by Chad, whom they considered too biased towards the Government of Sudan. The Government of Sudan initially refused to hold face-to-face talks. Yet, when the SLM/A threatened to walk out of the negotiations, the Government of Sudan gave in and sat down with the rebels.",APP,,,,,,,,,,,,,,,,,
2004,54,,Sudan,Darfur,SUD,AU,,,,R,AU,,,1,0,0,0,0,0,0,0,0,0,0,,"In early March 2004, senior AU officials held consultations with Sudanese government officials in Khartoum to discuss mediation by the AU. On the basis of these consultations, the AU initiated pre-negotiations between the Government of Sudan on the one side and the SLM/A and JEM on the other side in May 2004. The director of the AU Department of Peace and Security, Ambassador Sam Ibok, had been mandated by the AU Chairperson and President of Mali, Alpha Konaré, to act as the AU chief mediator at these talks.  ",APP,,,,,,,,,,,,,,,,,
2004,55,,Sudan,Darfur,SUD,AU,,Ethiopia,ETH,G,AU,,,0,1,0,1,0,1,0,0,1,1,0,Peace Agreement,"""The talks in May 2004 resulted in an agreement on the establishment of a Ceasefire Commission and the deployment of 130 observers in Darfur that were stationed at five locations in Darfur and one location in Chad. The observers came from AU countries, but also from the US, the EU, and the warring parties themselves. The documents were signed at Abuja on 28 May."" CORRECTION: the documents were signed in Addis Ababa",APP,,https://www.peaceagreements.org/viewmasterdocument/92,,,,,,,,,,,,,,,
2004,55,,Sudan,Darfur,SUD,EU,,Ethiopia,ETH,G,AU,,,0,1,0,1,0,1,0,0,1,1,0,Peace Agreement,"""The talks in May 2004 resulted in an agreement on the establishment of a Ceasefire Commission and the deployment of 130 observers in Darfur that were stationed at five locations in Darfur and one location in Chad. The observers came from AU countries, but also from the US, the EU, and the warring parties themselves. The documents were signed at Abuja on 28 May."" CORRECTION: the documents were signed in Addis Ababa",APP,,https://www.peaceagreements.org/viewmasterdocument/92,,,,,,,,,,,,,,,
2004,55,,Sudan,Darfur,SUD,United States of America,USA,Ethiopia,ETH,G,AU,,,0,1,0,1,0,1,0,0,1,1,0,Peace Agreement,"""The talks in May 2004 resulted in an agreement on the establishment of a Ceasefire Commission and the deployment of 130 observers in Darfur that were stationed at five locations in Darfur and one location in Chad. The observers came from AU countries, but also from the US, the EU, and the warring parties themselves. The documents were signed at Abuja on 28 May."" CORRECTION: the documents were signed in Addis Ababa",APP,,https://www.peaceagreements.org/viewmasterdocument/92,,,,,,,,,,,,,,,
2004,56,,Sudan,Darfur,SUD,AU ,,Ethiopia,ETH,R,AU,,,0,0,0,1,0,0,0,0,0,0,0,,The parties met for a first round of negotiations in Addis Ababa at the AU headquarters between 15 and 17 July 2004. ,APP,,"https://www.peaceagreements.org/wview/91/Protocol%20between%20the%20Government%20of%20Sudan,%20SLM/A%20and%20the%20JEM%20on%20the%20Improvement%20of%20the%20Humanitarian%20Situation%20in%20Darfur",,,,,,,,,,,,,,,
2004,56,,Sudan,Darfur,SUD,EU,,Ethiopia,ETH,R,AU,,,0,0,0,1,0,0,0,0,0,0,0,,The parties met for a first round of negotiations in Addis Ababa at the AU headquarters between 15 and 17 July 2004. ,APP,,"https://www.peaceagreements.org/wview/91/Protocol%20between%20the%20Government%20of%20Sudan,%20SLM/A%20and%20the%20JEM%20on%20the%20Improvement%20of%20the%20Humanitarian%20Situation%20in%20Darfur",,,,,,,,,,,,,,,
2004,56,,Sudan,Darfur,SUD,United States of America,USA,Ethiopia,ETH,R,AU,,,0,0,0,1,0,0,0,0,0,0,0,,The parties met for a first round of negotiations in Addis Ababa at the AU headquarters between 15 and 17 July 2004. ,APP,,"https://www.peaceagreements.org/wview/91/Protocol%20between%20the%20Government%20of%20Sudan,%20SLM/A%20and%20the%20JEM%20on%20the%20Improvement%20of%20the%20Humanitarian%20Situation%20in%20Darfur",,,,,,,,,,,,,,,
2004,57,,Sudan,Darfur,SUD,AU ,,Nigeria,NIG,R,AU,,,0,1,0,1,0,1,1,0,1,1,0,Protocol on the Improvement of the Humanitarian Situation in Darfur,"The director of the AU Department of Peace and Security, Ambassador Sam Ibok, had been mandated by the AU Chairperson and President of Mali, Alpha Konaré, to act as the AU chief mediator at these talks. The talks in May 2004 resulted in an agreement on the establishment of a Ceasefire Commission and the deployment of 130 observers in Darfur that were stationed at five locations in Darfur and one location in Chad. The observers came from AU countries, but also from the US, the EU, and the warring parties themselves. The documents were signed at Abuja on 28 May.   The second round of what came to be known as the Abuja talks started in Abuja on 23 August under the auspices of President Olusegun Obasanjo, the chairman of the AU. These talks resulted in the Protocol on the Improvement of the Humanitarian Situation in Darfur, signed on 1 September by the Government of Sudan, the SLM/A, and the JEM. This round of negotiations ended on 17 September.  ",APP,,"https://www.peaceagreements.org/wview/91/Protocol%20between%20the%20Government%20of%20Sudan,%20SLM/A%20and%20the%20JEM%20on%20the%20Improvement%20of%20the%20Humanitarian%20Situation%20in%20Darfur",,,,,,,,,,,,,,,
2004,57,,Sudan,Darfur,SUD,EU,,Nigeria,NIG,R,AU,,,0,1,0,1,0,1,0,0,1,1,0,Protocol on the Improvement of the Humanitarian Situation in Darfur,"The director of the AU Department of Peace and Security, Ambassador Sam Ibok, had been mandated by the AU Chairperson and President of Mali, Alpha Konaré, to act as the AU chief mediator at these talks. The talks in May 2004 resulted in an agreement on the establishment of a Ceasefire Commission and the deployment of 130 observers in Darfur that were stationed at five locations in Darfur and one location in Chad. The observers came from AU countries, but also from the US, the EU, and the warring parties themselves. The documents were signed at Abuja on 28 May.   The second round of what came to be known as the Abuja talks started in Abuja on 23 August under the auspices of President Olusegun Obasanjo, the chairman of the AU. These talks resulted in the Protocol on the Improvement of the Humanitarian Situation in Darfur, signed on 1 September by the Government of Sudan, the SLM/A, and the JEM. This round of negotiations ended on 17 September.  ",APP,,"https://www.peaceagreements.org/wview/91/Protocol%20between%20the%20Government%20of%20Sudan,%20SLM/A%20and%20the%20JEM%20on%20the%20Improvement%20of%20the%20Humanitarian%20Situation%20in%20Darfur",,,,,,,,,,,,,,,
2004,57,,Sudan,Darfur,SUD,United States of America,USA,Nigeria,NIG,R,AU,,,0,1,0,1,0,1,0,0,1,1,0,Protocol on the Improvement of the Humanitarian Situation in Darfur,"The director of the AU Department of Peace and Security, Ambassador Sam Ibok, had been mandated by the AU Chairperson and President of Mali, Alpha Konaré, to act as the AU chief mediator at these talks. The talks in May 2004 resulted in an agreement on the establishment of a Ceasefire Commission and the deployment of 130 observers in Darfur that were stationed at five locations in Darfur and one location in Chad. The observers came from AU countries, but also from the US, the EU, and the warring parties themselves. The documents were signed at Abuja on 28 May.   The second round of what came to be known as the Abuja talks started in Abuja on 23 August under the auspices of President Olusegun Obasanjo, the chairman of the AU. These talks resulted in the Protocol on the Improvement of the Humanitarian Situation in Darfur, signed on 1 September by the Government of Sudan, the SLM/A, and the JEM. This round of negotiations ended on 17 September.  ",APP,,"https://www.peaceagreements.org/wview/91/Protocol%20between%20the%20Government%20of%20Sudan,%20SLM/A%20and%20the%20JEM%20on%20the%20Improvement%20of%20the%20Humanitarian%20Situation%20in%20Darfur",,,,,,,,,,,,,,,
2004,58,,Sudan,Darfur,SUD,AU,,Nigeria,NIG,R,AU,,,0,1,0,0,0,1,0,0,1,1,0,Humanitarian and Security Protocols,"The third round of Abuja talks started on 21 October, resulting in the signing of the Humanitarian and Security Protocols on 9 November.",APP,,https://reliefweb.int/report/sudan/protocol-between-govt-sudan-slma-and-justice-and-equality-movement-enhancement-security,,,,,,,,,,,,,,,
2004,59,,Sudan,Darfur,SUD,AU ,,Nigeria,NIG,R,AU,,,0,1,0,0,0,0,0,0,0,0,0,,"The parties met between 11 and 21 December for the fourth round of the Abuja talks, which ended with a promise of the conflict parties to commit to the ceasefire agreement signed on 8 April and the Humanitarian and Security Protocols from November, as well as a promise to seek a peaceful solution to the conflict.",APP,,,,,,,,,,,,,,,,,
2004,60,,Sudan,,SUD,Egypt,EGY,Egypt,EGY,S,Egypt,,,0,1,1,0,0,0,0,0,0,0,0,,A round of negotiations between NDA and the Government of Sudan took place in Cairo in October in 2004 under the auspices of Egypt. The negotiations continued with different rounds throughout the year.,APP,,,,,,,,,,,,,,,,,
2004,61,,Sudan,,SUD,IGAD,,Kenya,KEN,G,IGAD,,,0,1,1,0,0,0,1,0,1,1,0,Framework on Wealth Sharing During the Pre-Interim and Interim Period,"Throughout 2004, the SPLM/A and the Government of Sudan held negotiations in Kenya based on the process agreed on in the Machakos Protocol singed in 2002. The continuous negotiations resulted in the signing of several protocols and agreements that were to make up the foundation of the final Comprehensive Peace Agreement. During a round of negotiations in Naivasha in January 2004, the Framework on Wealth Sharing During the Pre-Interim and Interim Period was signed on 7 January 2004. ",APP,,https://reliefweb.int/report/sudan/sudan-agreement-wealth-sharing-during-pre-interim-and-interim-period,,https://www.peaceagreements.org/wview/385,,,,,,,,,,,,,
